        ID          Time           Lat P        Lat M       Lon P       Lon M          Area         Flux         Max B       Mean B       Tilt          Pos          D             Lifetime
       10213       2450659.6      24.6497      25.3920     -15.5884     -20.5665      958.260  7.20868e+21      689.110      250.216      9.34367      1.00000      55556.7       2.6678819
       10213       2450659.6      24.6432      25.4665     -14.6342     -19.6845      947.213  7.11232e+21      688.376      250.004      10.2020      1.00000      56492.4       2.7345486
       10213       2450659.7      24.6363      25.3869     -13.7114     -18.8135      906.280  6.89682e+21      692.187      253.377      9.22047      1.00000      56924.1       2.8012153
       10213       2450659.8      24.6808      25.4110     -12.8474     -17.9680      892.089  6.81345e+21      713.648      254.385      8.94547      1.00000      57071.3       2.8678819
       10213       2450659.8      24.7213      25.4245     -11.9408     -17.1057      864.071  6.63723e+21      745.039      255.979      8.54771      1.00000      57491.1       2.9345486
       10213       2450659.9      24.8091      25.4700     -11.1490     -16.1708      836.528  6.45861e+21      736.031      257.243      8.27144      1.00000      55828.4       3.0006944
       10213       2450660.0      24.8126      25.4170     -10.2931     -15.2742      828.202  6.37733e+21      736.820      256.581      7.63280      1.00000      55301.4       3.0673611
       10213       2450660.0      24.8498      25.4606     -9.46062     -14.4399      818.754  6.22702e+21      706.603      253.569      7.71878      1.00000      55272.6       3.1340278
       10213       2450660.1      24.8460      25.4685     -8.61430     -13.5691      854.188  6.12130e+21      666.035      238.940      7.90198      1.00000      55024.5       3.2006944
       10213       2450660.2      24.8862      25.4687     -7.77211     -12.6814      848.669  5.95416e+21      617.982      233.986      7.46962      1.00000      54455.3       3.2673611
       10213       2450660.3      24.9536      25.5101     -6.11033     -10.9248      849.216  5.68581e+21      582.418      223.264      7.28227      1.00000      53356.7       3.4006944
       10213       2450660.6      24.7813      25.5232     -2.49854     -7.45170      864.701  5.39286e+21      594.869      207.880      9.39563      1.00000      55226.6       3.6673611
       10213       2450660.6      24.7099      25.5414     -1.65224     -6.80101      928.686  5.63681e+21      590.623      202.289      10.1140      1.00000      57544.4       3.7345486
       10213       2450660.7      24.7164      25.5234    -0.817195     -5.94414      956.482  5.60778e+21      560.047      195.431      9.86253      1.00000      57258.6       3.8012153
       10213       2450660.8      24.7163      25.4963    0.0336240     -5.01487      946.858  5.58281e+21      524.091      196.528      9.68219      1.00000      56358.6       3.8678819
       10213       2450660.8      24.7342      25.5126     0.949415     -4.13907      937.749  5.58134e+21      510.327      198.375      9.58995      1.00000      56781.1       3.9345486
       10213       2450660.9      24.8341      25.4877      1.75856     -3.11363      876.780  5.26913e+21      493.622      200.299      8.43025      1.00000      54177.8       4.0006944
       10213       2450661.0      24.7980      25.5431      2.62539     -2.24926      894.827  5.28983e+21      481.785      197.048      9.58638      1.00000      54373.9       4.0673611
       10213       2450661.0      24.8317      25.5870      3.51806     -1.38406      877.995  5.20561e+21      474.852      197.619      9.66461      1.00000      54675.8       4.1340278
       10213       2450661.1      24.8290      25.6194      4.38970    -0.524080      898.544  5.24139e+21      472.682      194.430      10.0813      1.00000      54869.2       4.2006944
       10213       2450661.2      24.8621      25.6176      5.25060     0.330888      897.990  5.16125e+21      503.415      191.581      9.63625      1.00000      54853.9       4.2673611
       10213       2450661.3      25.2425      25.6071      6.86287      2.08390      854.585  4.91860e+21      483.343      191.908      4.82866      1.00000      52640.0       4.4006944
       10213       2450661.4      25.3060      25.6039      7.67124      2.91812      841.736  4.80841e+21      517.691      190.472      3.97057      1.00000      52281.0       4.4673611
       10213       2450661.5      25.3294      25.6549      9.42418      4.53938      845.572  4.83345e+21      590.169      190.685      4.22221      1.00000      53729.5       4.6006944
       10213       2450661.6      25.3097      25.6935      10.3613      5.34176      869.832  5.00287e+21      588.152      191.887      4.84160      1.00000      55255.9       4.6673611
       10213       2450661.6      25.2289      25.7013      11.2003      6.09269      901.146  5.11254e+21      577.757      189.250      5.84865      1.00000      56332.9       4.7345486
       10213       2450661.7      25.2093      25.7463      12.0856      6.87863      915.844  5.20550e+21      575.838      189.583      6.51675      1.00000      57496.1       4.8012153
       10213       2450661.8      25.1259      25.7239      13.0022      7.73141      934.580  5.20749e+21      558.501      185.896      7.16017      1.00000      58303.7       4.8678819
       10213       2450661.8      25.4575      25.7315      13.8338      8.53543      884.661  5.04632e+21      577.685      190.323      3.28210      1.00000      58166.5       4.9340278
       10213       2450661.9      25.3748      25.7333      14.7819      9.41373      909.727  5.13944e+21      586.842      188.436      4.23285      1.00000      59016.5       5.0006944
       10213       2450662.0      25.4335      25.7483      15.5999      10.1800      882.170  5.07632e+21      578.075      191.908      3.68544      1.00000      59528.1       5.0673611
       10213       2450662.0      25.1822      25.8083      16.5461      11.1032      922.338  5.27963e+21      593.104      190.886      7.26233      1.00000      60187.0       5.1345486
       10213       2450662.1      25.1607      25.8592      17.4607      12.0225      908.537  5.22886e+21      623.513      191.927      8.10023      1.00000      60246.1       5.2012153
       10213       2450662.2      25.5851      25.8634      18.1400      12.8167      834.649  4.97448e+21      627.354      198.747      3.32060      1.00000      58378.1       5.2673611
       10213       2450662.2      25.5826      25.8945      19.0117      13.6156      852.254  5.04900e+21      609.135      197.531      3.67206      1.00000      59191.7       5.3340278
       10213       2450662.3      25.7036      25.9549      19.7835      14.5196      833.807  5.07620e+21      583.697      202.995      3.03639      1.00000      57659.9       5.4006944
       10213       2450662.4      25.6256      25.9682      20.8107      15.3964      822.409  5.01571e+21      525.771      203.396      4.02017      1.00000      59386.0       5.4673611
       10213       2450662.4      25.6632      25.9938      21.6805      16.3047      779.870  4.88854e+21      471.849      209.197      3.90840      1.00000      58940.9       5.5340278
       10213       2450662.5      25.5275      25.9579      22.5489      17.2025      781.749  4.89904e+21      491.179      209.184      5.10620      1.00000      58758.5       5.6012153
       10213       2450662.6      25.5219      25.9429      23.4839      18.0054      812.699  5.03715e+21      543.227      206.848      4.87599      1.00000      60192.3       5.6678819
       10213       2450662.6      25.5340      25.9176      24.3292      18.8846      800.283  4.98610e+21      517.997      208.065      4.47183      1.00000      59790.0       5.7345486
       10213       2450662.7      25.5046      25.8882      25.2403      19.7546      806.444  4.98884e+21      532.734      206.698      4.43671      1.00000      60253.3       5.8012153
       10213       2450662.8      25.5203      25.8774      26.1386      20.5585      796.211  4.99086e+21      555.850      209.550      4.06311      1.00000      61258.8       5.8678819
       10213       2450662.8      25.5155      25.9006      26.9387      21.3626      811.709  5.02037e+21      547.490      206.795      4.38289      1.00000      61234.7       5.9340278
       10213       2450662.9      25.4303      25.9168      27.9613      22.2071      833.135  5.11920e+21      561.798      205.423      5.35977      1.00000      63300.2       6.0006944
       10213       2450663.0      25.4191      25.9639      28.8775      22.9902      855.070  5.19649e+21      563.225      203.108      5.86365      1.00000      64810.2       6.0678819
       10213       2450663.0      25.3844      25.9463      29.7924      23.8911      884.309  5.37468e+21      548.434      203.154      6.02995      1.00000      64998.4       6.1340278
       10213       2450663.1      25.3405      25.9626      30.7182      24.7683      838.883  5.12927e+21      547.743      204.420      6.61539      1.00000      65615.8       6.2006944
       10213       2450663.2      25.2865      25.9600      31.5458      25.6090      878.435  5.30154e+21      573.427      201.742      7.17108      1.00000      65563.7       6.2673611
       10213       2450663.2      25.3628      25.9519      32.6024      26.4597      855.174  5.25988e+21      569.330      205.572      6.07246      1.00000      67666.8       6.3340278
       10213       2450663.3      25.3363      26.0035      33.3465      27.3805      843.323  5.24069e+21      618.481      207.966      7.07327      1.00000      65845.6       6.4006944
       10213       2450663.4      25.3991      26.0296      34.1399      28.2669      821.450  5.17485e+21      715.976      210.761      6.79460      1.00000      64757.5       6.4673611
       10213       2450663.4      25.4166      26.0113      35.1034      29.0954      807.992  5.22133e+21      734.479      216.117      6.26958      1.00000      66176.7       6.5340278
       10213       2450663.5      25.3230      26.1222      36.0038      29.9267      810.359  5.21702e+21      812.794      215.434      8.30539      1.00000      67236.3       6.6006944
       10213       2450663.6      25.2778      26.1259      36.8630      30.8785      815.618  5.18868e+21      808.117      212.733      8.93823      1.00000      66336.6       6.6673611
       10213       2450663.6      25.3103      26.1727      37.8172      31.6951      838.285  5.31151e+21      822.722      211.944      8.88881      1.00000      67828.3       6.7345486
       10213       2450663.7      25.3350      25.7060      38.5978      33.7361      644.557  4.30837e+21      810.423      224.036      4.83421      1.00000      53507.2       6.8012153
       10213       2450663.8      25.3138      25.7079      39.5016      34.6020      634.536  4.20973e+21      789.561      222.474      5.09282      1.00000      53951.4       6.8678819
       10213       2450663.8      25.3705      26.1528      40.2257      34.2313      783.449  5.05113e+21      822.180      215.386      8.24577      1.00000      66290.3       6.9340278
       10213       2450663.9      26.3396      26.3444      40.7519      34.9438      678.738  4.31703e+21      760.719      211.858    0.0533600      1.00000      63253.5       7.0000000
       10213       2450664.0      25.3971      26.0550      41.9489      35.9974      831.566  5.22952e+21      802.882      209.792      6.99637      1.00000      65645.3       7.0666667
       10213       2450664.0      25.4188      25.9852      42.8875      36.8588      865.281  5.36984e+21      728.592      206.827      5.95201      1.00000      66371.9       7.1333333
       10213       2450664.1      26.3079      26.1524      43.4346      37.5206      691.490  4.32854e+21      706.540      207.862     -1.67880      1.00000      64495.9       7.2000000
       10213       2450664.2      26.2730      26.1191      44.3366      38.3846      695.750  4.24454e+21      713.209      202.746     -1.65044      1.00000      64928.0       7.2666667
       10213       2450664.2      26.3033      26.1502      45.1219      39.1916      719.737  4.37804e+21      636.580      201.860     -1.64760      1.00000      64675.2       7.3333333
       10213       2450664.3      26.3099      26.1846      45.9866      39.9861      725.345  4.39840e+21      598.425      201.023     -1.33365      1.00000      65419.2       7.4000000
       10213       2450664.4      26.3121      26.0779      46.8693      40.8540      771.132  4.79387e+21      579.407      206.175     -2.48431      1.00000      65653.7       7.4666667
       10213       2450664.4      26.2349      26.0418      47.7669      41.6370      684.443  4.37207e+21      558.851      211.626     -2.01028      1.00000      66915.7       7.5333333
       10213       2450664.5      26.3207      26.0748      48.6147      42.5256      743.535  4.59571e+21      563.653      204.984     -2.57700      1.00000      66462.1       7.6000000
       10213       2450664.6      26.2168      25.9765      49.5823      43.4170      698.216  4.35048e+21      561.721      206.945     -2.48560      1.00000      67348.2       7.6673611
       10213       2450664.6      26.2457      25.9236      50.3640      44.3318      713.994  4.38442e+21      565.589      203.848     -3.40294      1.00000      65955.4       7.7333333
       10213       2450664.7      25.3803      26.0137      51.5379      45.2540      890.595  5.26377e+21      552.789      196.270      6.38205      1.00000      69239.5       7.8012153
       10213       2450664.8      25.4700      25.9992      52.4725      46.1629      886.328  5.34364e+21      547.295      200.479      5.31866      1.00000      69369.0       7.8678819
       10213       2450665.0      25.9936      26.0051      54.9896      48.5635      713.969  4.59311e+21      621.401      213.233     0.114365      1.00000      70188.4       8.0673611
       10213       2450665.0      26.0859      25.9622      55.8496      49.5651      717.679  4.57804e+21      589.987      211.847     -1.25522      1.00000      68644.1       8.1333333
       10213       2450665.1      26.0415      25.9079      56.8324      50.6937      675.273  4.58160e+21      607.721      224.893     -1.38676      1.00000      67083.3       8.2000000
       10213       2450665.2      26.0651      26.0075      57.5826      51.3752      684.891  4.48763e+21      577.850      217.529    -0.591888      1.00000      67782.2       8.2666667
       10213       2450665.3      25.9233      25.7354      58.8089      53.9445      503.618  3.41530e+21      576.384      225.689     -2.45642      1.00000      53259.0       8.3513889
